ID,NAME,PROVINCE,LATITUDE,LONGITUDE,ELEVATION,HOURLY_FIRST_DAY, HOURLY_LAST_DAY, DAILY_FIRST_DAY, DAILY_LAST_DAY,MONTHLY_FIRST_DAY, MONTHLY_LAST_DAY
50308,ABBOTSFORD A,BC,49.0252777777778,-122.36,59.1,2011-10-07,2013-12-30,2012-06-21,2013-12-30,null,null
703,ABBOTSFORD EAST,BC,49.0333333333333,-122.25,7.6,null,null,1960-11-01,1962-12-31,1960-01-01,1962-12-01
704,ABBOTSFORD KING ROAD,BC,49.0333333333333,-122.3,61,null,null,1968-11-01,1973-03-31,1968-01-01,1973-12-01
705,ABBOTSFORD UPPER SUMAS,BC,49.05,-122.266666666667,9.1,null,null,1935-11-01,1946-03-31,1935-01-01,1946-12-01
32232,ABEE AGDM,ALTA,54.2833333333333,-112.966666666667,664,1990-03-07,2013-12-30,2002-11-01,2013-12-30,2002-11-01,2007-11-01
5308,ABERCORN,QUE,45.0333333333333,-72.6666666666667,149.4,null,null,1950-12-01,1985-01-31,1950-01-01,1985-12-01
6288,ABERCROMBIE POINT,NS,45.65,-62.7166666666667,10.7,null,null,1973-09-01,1978-12-31,1973-01-01,1978-12-01
3272,ABERDEEN,SASK,52.4,-106.166666666667,518.2,null,null,1987-11-01,1991-09-30,1987-01-01,1991-11-01
1166,ABERFELDIE,BC,49.5,-115.366666666667,804.7,null,null,1950-05-01,1982-05-31,1950-01-01,1982-12-01
3980,ABITIBI CAMP 11,ONT,48.9333333333333,-89.35,442,null,null,1978-06-01,1983-12-31,1978-01-01,1981-12-01
3981,ABITIBI CAMP 11,ONT,48.85,-89.1166666666667,491,null,null,1983-11-01,1988-04-30,1983-01-01,1988-12-01
3982,ABITIBI CAMP 228,ONT,48.9333333333333,-89.25,472.4,null,null,1969-12-01,1978-06-30,1969-01-01,1978-12-01
3983,ABITIBI CAMP 230,ONT,49.35,-89.3666666666667,457.2,null,null,1969-11-01,1991-01-31,1969-01-01,1991-11-01
3984,ABITIBI CAMP 300,ONT,49.6333333333333,-89.75,426.7,null,null,1978-02-01,1986-12-31,1978-01-01,1986-12-01
4141,ABITIBI CANYON,ONT,49.8833333333333,-81.5666666666667,204.2,null,null,1931-02-01,1963-10-31,1931-01-01,1963-12-01
6018,ABITIBI POST,QUE,48.7166666666667,-79.3666666666667,259.1,null,null,1896-07-01,1936-02-29,1896-01-01,1936-12-01
6106,ACADIA FOREST EXP ST,NB,45.9902777777778,-66.3633333333333,54,null,null,1955-01-01,2010-04-27,1955-01-01,2006-02-01
47748,ACADIA VALLEY,ALTA,51.0661361111111,-110.316969444444,735,2009-02-13,2013-12-30,2009-02-13,2013-12-30,null,null
2030,ACADIA VALLEY,ALTA,51.1833333333333,-110.233333333333,732,null,null,1980-08-01,1991-09-30,1980-01-01,1991-12-01
2032,ACADIA VALLEY CDA EPF,ALTA,51.0666666666667,-110.133333333333,0,null,null,1965-07-01,1965-07-31,1965-01-01,1965-12-01
2031,ACADIA VALLEY EXP ST,ALTA,51.0833333333333,-110.283333333333,712.9,null,null,1954-01-01,1962-12-31,1954-01-01,1962-12-01
2033,ACADIA VALLEY MACTAVISH,ALTA,51.1961138888889,-110.168891666667,743.7,null,null,1988-05-01,2005-01-31,1988-01-01,2005-01-01
2034,ACADIA VALLEY VANDYNE,ALTA,51.0333333333333,-110.3,708.6,null,null,1988-05-01,1998-09-30,1988-01-01,1998-09-01
6107,ACADIEVILLE,NB,46.7333333333333,-65.2833333333333,61,null,null,1980-02-01,1995-01-31,1980-01-01,1995-01-01
2035,ACME CDA EPF,ALTA,51.5,-113.416666666667,905,null,null,1953-01-01,1982-06-30,1953-01-01,1982-12-01
14,ACTIVE PASS,BC,48.8666666666667,-123.283333333333,4,null,null,1984-07-01,1996-11-30,1984-01-01,1996-11-01
4849,ACTON BEARDMORE,ONT,43.6333333333333,-80.0333333333333,320,null,null,1966-05-01,1967-10-31,1966-01-01,1967-12-01
4728,ACTON MONITOR STN,ONT,43.65,-80.05,411.5,null,null,1966-07-01,1971-10-31,1966-01-01,1971-12-01
5309,ACTON VALE,QUE,45.65,-72.5666666666667,94.5,null,null,1964-06-01,1973-08-31,1964-01-01,1973-12-01
2649,ADAIR LO,ALTA,59.1666666666667,-118.333333333333,365.8,null,null,1968-05-01,2011-08-22,1968-01-01,2007-08-01
2460,ADAMS CREEK LO,ALTA,53.7166666666667,-118.566666666667,2209.8,null,null,1962-05-01,2011-08-16,1962-01-01,2007-09-01
1225,ADAMS LAKE SKWAAM BAY,BC,51.0833333333333,-119.8,457.2,null,null,1972-06-01,1975-08-31,1972-01-01,1975-12-01
374,ADDENBROKE ISLAND,BC,51.6035277777778,-127.863861111111,21.3,1994-02-01,2001-12-13,1978-01-01,2013-12-29,1978-01-01,2007-02-01
2331,ADEN,ALTA,49.05,-111.316666666667,1036.3,null,null,1962-06-01,2000-08-31,1962-01-01,2000-08-01
983,ADRA,BC,49.7333333333333,-119.583333333333,1002.5,null,null,1928-09-01,1953-08-31,1928-01-01,1953-12-01
707,AGASSIZ CDA,BC,49.2430555555556,-121.760277777778,15,null,null,1889-10-01,2013-12-29,1889-01-01,2007-02-01
708,AGASSIZ MOUNTAIN INSTITUTE,BC,49.2666666666667,-121.833333333333,30,null,null,1986-04-01,1995-05-31,1986-01-01,1995-05-01
706,AGASSIZ RCS,BC,49.2430555555556,-121.760277777778,19.3,1994-02-01,2013-12-30,1988-11-01,2013-12-30,1988-01-01,2006-11-01
4105,AGNEW MINE,ONT,46.4333333333333,-81.6166666666667,305.1,null,null,1978-07-01,1983-11-30,1978-01-01,1983-12-01
3985,AGUASABON,ONT,48.7833333333333,-87.1666666666667,189,null,null,1950-06-01,1972-05-31,1950-01-01,1972-12-01
5886,AIGREMONT,QUE,49.3,-73.85,403.9,null,null,1973-11-01,1982-03-31,1973-01-01,1980-12-01
4729,AILSA CRAIG,ONT,43.15,-81.5333333333333,228.6,null,null,1968-04-01,1972-02-29,1968-01-01,1972-12-01
2181,AIRDRIE,ALTA,51.3166666666667,-113.883333333333,1082,null,null,1961-08-01,1963-04-30,1961-01-01,1963-12-01
1515,AISHIHIK A,YT,61.65,-137.483333333333,966.2,1953-01-01,1966-09-27,1943-06-01,1966-09-30,1943-01-01,1966-12-01
452,AIYANSH,BC,55.2333333333333,-129.016666666667,228.6,null,null,1924-01-01,1971-09-30,1924-01-01,1971-12-01
453,AIYANSH 2SE,BC,55.1833333333333,-129.05,213.4,null,null,1974-07-01,1985-08-31,1974-01-01,1985-12-01
9604,AKAMINA PASS,ALTA,49.0266666666667,-114.051111111111,1800,null,null,2002-06-01,2007-11-30,2003-01-01,2007-11-01
1623,AKLAVIK A,NWT,68.2233333333333,-135.005833333333,6.4,1953-01-01,2013-12-30,1926-07-01,2010-10-27,1926-01-01,2007-11-01
1624,AKLAVIK RADIOSONDE,NWT,68.2333333333333,-135,9.1,null,null,1953-03-01,1960-09-30,1953-01-01,1960-12-01
49308,AKULIVIK,QUE,60.83421,-78.16956,77,2011-01-20,2013-12-30,null,null,null,null
10789,AKULIVIK A,QUE,60.8166666666667,-78.15,23.2,1992-09-02,2013-12-30,null,null,null,null
2839,ALAMEDA CDA EPF,SASK,49.25,-102.283333333333,580,null,null,1894-01-01,1965-03-31,1894-01-01,1965-12-01
5887,ALBANEL,QUE,48.8833333333333,-72.45,152,null,null,1922-06-01,1991-01-31,1922-01-01,1991-12-01
6518,ALBANY,PEI,46.2666666666667,-63.5833333333333,33.5,null,null,1984-08-01,1993-03-31,1984-01-01,1993-12-01
221,ALBERNI BEAVER CREEK,BC,49.3666666666667,-124.933333333333,91.4,null,null,1894-05-01,1959-02-28,1894-01-01,1959-12-01
222,ALBERNI CITY RESERVOIR,BC,49.2666666666667,-124.783333333333,64.6,null,null,1962-03-01,1963-12-31,1962-01-01,1963-12-01
223,ALBERNI LUPSI CUPSI,BC,49.25,-124.816666666667,9.1,null,null,1948-11-01,1974-12-31,1948-01-01,1974-12-01
224,ALBERNI MCCOY LAKE,BC,49.2833333333333,-124.883333333333,42.7,null,null,1958-10-01,1973-08-31,1958-01-01,1973-12-01
225,ALBERNI ROBERTSON CREEK,BC,49.337225,-124.981969444444,73.8,null,null,1961-02-01,2013-11-30,1961-01-01,2007-02-01
46127,ALBERT HALL AGCM,ALTA,53.1133344444444,-111.181112777778,658,2007-06-27,2013-12-30,2007-05-01,2013-12-30,2007-05-01,2007-11-01
15,ALBERT HEAD,BC,48.4,-123.483333333333,17,null,null,1971-06-01,1995-04-30,1971-01-01,1995-04-01
26775,ALBERTON,ONT,43.1833333333333,-80.05,215,null,null,1994-06-01,2008-12-27,1994-01-01,2006-12-01
6519,ALBERTON,PEI,46.85,-64.0166666666667,3,null,null,1969-08-01,2008-05-31,1969-01-01,2006-02-01
49988,ALBERTON SNOW,PEI,46.8147472222222,-64.0611361111111,8.5,null,null,2012-01-15,2013-12-30,null,null
5759,ALBERTVILLE,QUE,48.3,-67.35,335.3,null,null,1963-01-01,1985-01-31,1963-01-01,1985-12-01
4850,ALBION,ONT,43.9333333333333,-79.8333333333333,274.3,null,null,1956-05-01,2000-12-31,1956-01-01,2000-12-01
4851,ALBION FIELD CENTRE,ONT,43.9166666666667,-79.8333333333333,281.9,null,null,1969-05-01,2001-03-31,1969-01-01,2001-03-01
1351,ALBREDA,BC,52.6666666666667,-119.2,873.3,null,null,1973-06-01,1977-03-31,1973-01-01,1977-12-01
1807,ALDER FLATS LO,ALTA,52.8,-114.816666666667,1075.9,null,null,1952-06-01,1984-09-30,1952-01-01,1984-12-01
709,ALDERGROVE,BC,49.1166666666667,-122.483333333333,76.2,null,null,1953-04-01,1980-06-30,1953-01-01,1980-12-01
710,ALDERGROVE 2,BC,49.0333333333333,-122.483333333333,60,null,null,1980-06-01,1989-06-30,1980-01-01,1989-12-01
711,ALDERGROVE 48 AVENUE,BC,49.0833333333333,-122.516666666667,85,null,null,1987-03-01,1991-11-30,1987-01-01,1991-11-01
699,ALDERGROVE CENTRE,BC,49.05,-122.466666666667,60,null,null,1986-09-01,1989-03-31,1986-01-01,1989-12-01
4852,ALDERSHOT,ONT,43.3166666666667,-79.8666666666667,144.8,null,null,1947-02-01,1977-02-28,1947-01-01,1977-12-01
1731,ALERT,NU,82.5177777777778,-62.2805555555556,30.5,1953-01-01,2006-10-03,1950-07-01,2006-10-31,1950-01-01,2006-10-01
7559,ALERT A,NU,82.5166666666667,-62.2833333333333,30.5,1988-04-01,2013-12-29,null,null,null,null
7350,ALERT BASE (AUT),NU,82.5,-62.3666666666667,92,1983-04-29,1986-11-29,null,null,null,null
137,ALERT BAY,BC,50.5833333333333,-126.933333333333,59.4,1954-01-01,1994-02-21,1913-12-01,2006-12-05,1913-01-01,1994-12-01
42463,ALERT CLIMATE,NU,82.5,-62.3333333333333,65.4,2004-06-21,2013-12-30,2004-06-21,2013-12-30,2005-03-01,2007-09-01
10744,ALERT UA,NU,82.5,-62.3333333333333,65.4,null,null,1997-04-01,2013-12-29,1997-04-01,2007-11-01
3461,ALEXANDER,MAN,49.8333333333333,-100.3,427,null,null,1979-05-01,1999-09-30,1979-01-01,1999-09-01
42003,ALEXANDRIA,ONT,45.3236111111111,-74.6141666666667,77,2003-03-27,2006-05-24,2003-10-01,2006-05-24,null,null
500,ALEXIS CREEK,BC,52.0833333333333,-123.283333333333,800.1,null,null,1973-08-01,1995-05-31,1973-01-01,1995-05-01
499,ALEXIS CREEK,BC,52.1,-123.616666666667,853.4,null,null,1954-07-01,1956-07-31,1954-01-01,1956-12-01
501,ALEXIS CREEK,BC,52.1333333333333,-123.333333333333,723.9,null,null,1919-10-01,1963-09-30,1919-01-01,1963-12-01
502,ALEXIS CREEK TAUTRI CRK,BC,52.55,-123.183333333333,1219.2,null,null,1961-02-01,1983-09-30,1961-01-01,1983-12-01
10729,ALEXIS RIVER (AUT),NFLD,52.65,-56.8666666666667,48.3,1994-02-01,1999-01-22,null,null,null,null
10729,ALEXIS RIVER (AUT),NFLD,52.65,-56.8666666666667,48.3,1994-02-01,1999-01-22,null,null,null,null
565,ALEZA LAKE,BC,54.1166666666667,-122.066666666667,624.8,null,null,1952-02-01,1980-07-31,1952-01-01,1980-12-01
4219,ALFRED,ONT,45.55,-74.8833333333333,54,null,null,1984-09-01,1986-03-31,1984-01-01,1985-12-01
42006,ALFRED,ONT,45.555,-74.8755555555556,57,2003-12-03,2007-06-14,2003-10-07,2007-06-14,null,null
4220,ALFRED AUTOMATIC CLIMATE STATION,ONT,45.55,-74.8833333333333,54,null,null,1989-01-01,1989-10-31,1989-01-01,1989-12-01
2461,ALGAR LO,ALTA,56.1166666666667,-111.783333333333,780.3,null,null,1959-04-01,2011-08-23,1959-01-01,2007-09-01
4187,ALGONQUIN PARK,ONT,45.5833333333333,-78.55,432.5,null,null,1917-07-01,1960-08-31,1917-01-01,1960-12-01
4188,ALGONQUIN PARK EAST,ONT,45.5333333333333,-78.2666666666667,411.5,null,null,1961-05-01,1972-11-30,1961-01-01,1972-12-01
42967,ALGONQUIN PARK EAST GATE,ONT,45.5333333333333,-78.2666666666667,397,2004-09-01,2013-12-30,2004-09-02,2013-12-30,2005-05-01,2006-12-01
4189,ALGONQUIN PARK WEST,ONT,45.3333333333333,-78.85,426.7,null,null,1961-05-01,1972-11-30,1961-01-01,1972-12-01
375,ALICE ARM,BC,55.6833333333333,-129.5,314.2,null,null,1948-01-01,1964-09-30,1948-01-01,1964-12-01
376,ALICE ARM,BC,55.4666666666667,-129.466666666667,1.5,null,null,1973-06-01,1978-09-30,1973-01-01,1978-12-01
2840,ALIDA,SASK,49.45,-101.8,585.2,null,null,1989-09-01,2004-03-31,1989-01-01,2004-03-01
2036,ALIX,ALTA,52.3833333333333,-113.166666666667,787.9,null,null,1905-08-01,1951-09-30,1905-01-01,1951-12-01
2037,ALIX,ALTA,52.3666666666667,-113.3,853.4,null,null,1970-07-01,1973-09-30,1970-01-01,1973-12-01
566,ALKALI LAKE,BC,51.7833333333333,-122.283333333333,0,null,null,1910-09-01,1922-03-31,1910-01-01,1922-12-01
4400,ALLAN PARK,ONT,44.1666666666667,-80.9333333333333,285,null,null,1975-08-01,1976-11-30,1975-01-01,1976-12-01
1808,ALLIANCE,ALTA,52.4333333333333,-111.783333333333,715.7,null,null,1916-05-01,1982-07-31,1916-01-01,1982-12-01
46327,ALLIANCE AGCM,ALTA,52.3152797222222,-111.778612777778,737,2007-08-22,2013-12-30,2007-05-01,2013-12-30,2007-05-01,2007-11-01
1809,ALLIANCE GREENVIEW,ALTA,52.3833333333333,-111.8,731.5,null,null,1960-04-01,1962-12-31,1960-01-01,1962-12-01
1810,ALLIANCE SOUTH,ALTA,52.4166666666667,-111.783333333333,713.2,null,null,1982-10-01,2000-10-31,1982-01-01,2000-10-01
938,ALLISON PASS,BC,49.1333333333333,-120.833333333333,1341.1,null,null,1958-09-01,1972-10-31,1958-01-01,1972-12-01
939,ALLISON PASS DOH,BC,49.1166666666667,-120.866666666667,1339.9,null,null,1974-11-01,1989-05-31,1974-01-01,1989-12-01
4401,ALLISTON,ONT,44.15,-79.85,213.4,null,null,1953-03-01,1975-01-31,1953-01-01,1975-12-01
6520,ALLISTON,PEI,46.0666666666667,-62.6,61,null,null,1936-01-01,2013-12-30,1936-01-01,2006-02-01
4402,ALLISTON NELSON,ONT,44.1513966666667,-79.8722466666667,221,null,null,1973-07-01,2006-12-31,1973-01-01,2006-12-01
47227,ALLISTON SNOW,PEI,46.0666666666667,-62.6,61,null,null,2008-12-28,2009-04-14,null,null
4853,ALLOA,ONT,43.7166666666667,-79.8666666666667,262.1,null,null,1951-02-01,1954-11-30,1951-01-01,1954-12-01
6108,ALMA,NB,45.6,-64.95,42.7,null,null,1950-02-01,2011-03-31,1950-01-01,2006-02-01
3571,ALMASIPPI,MAN,49.55,-98.2,274.3,null,null,1902-05-01,1925-06-30,1902-01-01,1925-12-01
4221,ALMONTE,ONT,45.1833333333333,-76.2333333333333,125,null,null,1912-02-01,1980-02-29,1912-01-01,1980-12-01
3769,ALONSA,MAN,50.8333333333333,-99.05,274.3,null,null,1980-10-01,2007-11-30,1980-01-01,2007-11-01
712,ALOUETTE LAKE,BC,49.2833333333333,-122.483333333333,117.3,null,null,1924-01-01,1982-12-31,1924-01-01,1982-12-01
713,ALOUETTE POWER HOUSE,BC,49.3666666666667,-122.316666666667,91.4,null,null,1935-07-01,1949-03-31,1935-01-01,1949-12-01
2038,ALSASK,ALTA,51.3833333333333,-110.033333333333,701,null,null,1957-05-01,1965-04-30,1957-01-01,1965-12-01
3067,ALSASK,SASK,51.4166666666667,-109.9,661.4,null,null,1970-08-01,1970-09-30,1970-01-01,1970-12-01
3205,ALSASK,SASK,51.3833333333333,-110,701,null,null,1913-06-01,1951-12-31,1913-01-01,1951-12-01
3068,ALSASK HARDENE,SASK,51.3333333333333,-109.85,658.4,null,null,1959-05-01,1997-11-30,1959-01-01,1997-11-01
291,ALTA LAKE,BC,50.15,-122.95,667.5,1953-01-01,1976-04-22,1950-10-01,1976-03-31,1950-01-01,1976-12-01
293,ALTA LAKE 2,BC,50.15,-122.983333333333,640.1,null,null,1931-11-01,1969-09-30,1931-01-01,1969-12-01
292,ALTA LAKE NORTHAIR MINE,BC,50.1166666666667,-123.1,1005.8,null,null,1975-12-01,1987-07-31,1975-01-01,1987-12-01
2332,ALTAWAN,ALTA,49.2452797222222,-110.013612222222,944.9,null,null,1965-11-01,2007-09-30,1965-01-01,2007-09-01
4854,ALTON,ONT,43.85,-80.0833333333333,401.4,null,null,1887-01-01,1964-01-31,1887-01-01,1963-12-01
3572,ALTONA,MAN,49.1,-97.55,247.8,null,null,1948-11-01,2008-07-31,1948-01-01,2007-11-01
3573,ALTONA CFAM,MAN,49.1,-97.55,247.5,null,null,1959-09-01,1968-07-31,1959-01-01,1968-12-01
3574,ALTONA SOUTH,MAN,49.05,-97.5666666666667,249.9,null,null,1984-09-01,1989-06-30,1984-01-01,1989-12-01
4541,ALVINSTON,ONT,42.8666666666667,-81.8833333333333,221,null,null,1965-06-01,1969-12-31,1965-01-01,1969-12-01
3770,AMARANTH,MAN,50.6333333333333,-98.7166666666667,259.1,null,null,1980-10-01,2004-12-31,1980-01-01,2004-12-01
2650,AMBER LO,ALTA,59.1833333333333,-119.45,579.1,null,null,1967-05-01,2011-08-16,1967-01-01,2007-08-01
7103,AMHERST (AUT),NS,45.85,-64.2666666666667,23,1994-02-01,2005-05-04,1992-12-04,2005-05-03,null,null
5760,AMHERST ISLAND CDA EPF,QUE,47.2166666666667,-61.9666666666667,15.2,null,null,1957-05-01,1962-09-30,1959-01-01,1962-12-01
4607,AMHERSTBURG,ONT,42.1033583333333,-83.0944633333333,182,null,null,1988-07-01,2013-12-15,1988-01-01,2006-12-01
1811,AMISK,ALTA,52.6833333333333,-111.116666666667,701,null,null,1967-10-01,1974-12-31,1967-01-01,1974-12-01
6019,AMOS,QUE,48.5666666666667,-78.1333333333333,310,null,null,1913-06-01,2000-05-31,1913-01-01,2000-05-01
226,AMPHITRITE POINT,BC,48.9166666666667,-125.533333333333,10.7,null,null,1958-01-01,1980-04-30,1958-01-01,1980-12-01
227,AMPHITRITE POINT,BC,48.9211130555556,-125.541111944444,26.5,1980-05-01,2001-10-09,1980-05-01,2010-03-01,1980-01-01,1999-08-01
5761,AMQUI,QUE,48.5166666666667,-67.45,182.9,null,null,1957-03-01,1997-10-31,1957-01-01,1997-10-01
26887,AMQUI,QUE,48.4719444444444,-67.4347222222222,166,1995-08-24,2013-12-30,1996-08-22,2013-12-30,null,null
2841,AMULET,SASK,49.6166666666667,-104.733333333333,727.6,null,null,1970-12-01,2002-05-31,1970-01-01,2002-05-01
3273,AMYOT LAKE,SASK,53.7,-106.683333333333,0,null,null,1972-10-01,1972-12-31,1972-01-01,1972-12-01
503,ANAHIM LAKE,BC,52.35,-125.333333333333,1097.3,null,null,1954-09-01,1967-06-30,1954-01-01,1967-12-01
504,ANAHIM LAKE,BC,52.4666666666667,-125.316666666667,1108,null,null,1975-07-01,1994-03-31,1975-01-01,1994-12-01
505,ANAHIM LAKE 5 MILE RANCH,BC,52.5333333333333,-125.066666666667,1246,null,null,1980-09-01,1988-07-31,1980-01-01,1988-12-01
1812,ANDREW,ALTA,54.0166666666667,-112.233333333333,610,null,null,1973-06-01,2011-05-30,1973-01-01,2007-11-01
32253,ANDREW AGDM,ALTA,53.9169444444444,-112.279166666667,625,1998-04-08,2013-12-30,2002-12-01,2013-12-30,2002-12-01,2007-11-01
3069,ANEROID,SASK,49.7166666666667,-107.3,754.1,null,null,1916-05-01,2005-04-30,1916-01-01,2005-04-01
5574,ANGERS,QUE,45.55,-75.55,91,null,null,1962-01-01,2013-10-31,1962-01-01,2013-10-01
3206,ANGLIA,SASK,51.5666666666667,-108.166666666667,567.2,null,null,1913-04-01,1945-06-30,1913-01-01,1945-12-01
4403,ANGUS,ONT,44.3166666666667,-79.8666666666667,191.1,null,null,1930-02-01,1965-02-28,1930-01-01,1965-12-01
27001,ANGUS CAMPHILL,ONT,44.2833333333333,-79.85,212,null,null,1994-09-01,1997-11-30,1994-01-01,1997-11-01
1625,ANGUS TOWER,NWT,60.35,-114.283333333333,246.9,null,null,1968-06-01,1990-08-31,1968-01-01,1990-12-01
714,ANNACIS ISLAND,BC,49.1833333333333,-122.933333333333,4.6,null,null,1954-10-01,1962-03-31,1954-01-01,1962-12-01
6289,ANNAPOLIS ROYAL,NS,44.75,-65.5166666666667,7.7,null,null,1914-04-01,2007-06-04,1914-01-01,2006-02-01
1516,ANNIE LAKE ROBINSON,YT,60.4666666666667,-134.833333333333,820,null,null,1976-09-01,2006-05-31,1976-01-01,2006-05-01
3575,ANOLA,MAN,49.8833333333333,-96.65,255.1,null,null,1986-07-01,1987-10-31,1986-01-01,1987-12-01
5762,ANSE AU GRIFFON,QUE,48.9333333333333,-64.2833333333333,61,null,null,1973-09-01,1985-01-31,1973-01-01,1985-12-01
2462,ANSELL LO,ALTA,53.55,-116.5,968,null,null,1960-06-01,2011-09-01,1960-01-01,2007-09-01
2463,ANSELMO,ALTA,53.9666666666667,-115.416666666667,853.4,null,null,1990-05-01,2003-09-30,1990-01-01,2003-09-01
2362,ANTHRACITE,ALTA,51.2,-115.5,1386.8,null,null,1929-03-01,1962-02-28,1931-01-01,1962-12-01
5763,ANTICOSTI HEATH POINT,QUE,49.1,-61.7,9.1,null,null,1882-07-01,1935-09-30,1882-01-01,1935-12-01
5764,ANTICOSTI SW POINT,QUE,49.4,-63.55,7.3,null,null,1872-02-01,1954-10-31,1872-01-01,1954-12-01
5765,ANTICOSTI WEST POINT,QUE,49.8666666666667,-64.5333333333333,9.1,null,null,1882-08-01,1933-08-31,1882-01-01,1933-12-01
6291,ANTIGONISH,NS,45.6166666666667,-61.9833333333333,30.5,null,null,1979-07-01,1982-12-31,1979-01-01,1982-12-01
6290,ANTIGONISH,NS,45.6333333333333,-61.9666666666667,9.1,null,null,1880-12-01,1947-12-31,1880-01-01,1947-12-01
47247,ANTIGONISH SNOW,NS,45.6166666666667,-61.9,30,null,null,2009-01-01,2009-04-07,null,null
2039,ANTLER HILL,ALTA,52.05,-113.85,944.9,null,null,1973-07-01,1973-12-31,1973-01-01,1973-12-01
1517,ANVIL,YT,62.3666666666667,-133.383333333333,1158.2,null,null,1967-11-01,1991-03-31,1967-01-01,1991-11-01
294,ANVIL ISLAND,BC,49.5166666666667,-123.3,30.5,null,null,1956-10-01,1963-06-30,1956-01-01,1963-12-01
377,ANYOX,BC,55.4166666666667,-129.816666666667,112.8,null,null,1916-05-01,1935-06-30,1916-01-01,1935-12-01
2465,ANZAC,ALTA,56.45,-111.033333333333,495.3,null,null,1972-11-01,1979-07-31,1972-01-01,1979-12-01
2464,ANZAC,ALTA,56.45,-111.05,487.7,null,null,1950-10-01,1957-08-31,1950-01-01,1957-12-01
984,APEX MTN LODGE,BC,49.4,-119.916666666667,1889.8,null,null,1965-06-01,1971-09-30,1965-01-01,1971-12-01
4222,APPLE HILL,ONT,45.2166666666667,-74.75,91.4,null,null,1950-11-01,1961-11-30,1950-01-01,1961-12-01
6901,APPLETON,ONT,45.18584,-76.112805,133,null,null,1992-03-01,2013-12-17,1992-01-01,2006-12-01
4730,APPS MILL,ONT,43.1333333333333,-80.3833333333333,230.1,null,null,1972-10-01,1972-11-30,1972-01-01,1972-12-01
6292,APRIL BROOK IHD,NS,46.2333333333333,-61.1333333333333,61,null,null,1966-12-01,1976-01-31,1966-01-01,1976-12-01
5152,APSLEY,ONT,44.7666666666667,-78.0833333333333,274.3,null,null,1922-03-01,1957-03-31,1922-01-01,1957-12-01
982,ARAWANA,BC,49.5833333333333,-119.566666666667,518.2,null,null,1970-12-01,1976-06-30,1970-01-01,1976-12-01
3717,ARBORG,MAN,50.9333333333333,-97.0833333333333,224,null,null,1951-01-01,2013-12-29,1951-01-01,2007-11-01
3431,ARCHERWILL,SASK,52.4333333333333,-104.016666666667,556,null,null,1951-01-01,1982-11-30,1951-01-01,1982-12-01
2842,ARCOLA CDA EPF,SASK,49.6333333333333,-102.533333333333,603.5,null,null,1952-03-01,1993-06-30,1952-01-01,1993-12-01
2842,ARCOLA CDA EPF,SASK,49.6333333333333,-102.533333333333,603.5,null,null,1952-03-01,1993-06-30,1952-01-01,1993-12-01
48973,ARCTIC BAY,NU,73.0063888888889,-85.0472222222222,21.9,2011-01-13,2013-12-30,null,null,null,null
1732,ARCTIC BAY,NU,73.0333333333333,-85.15,11.3,1953-01-01,1976-12-22,1937-09-01,1976-12-31,1937-01-01,1976-12-01
